osm_id,name,lat,lon
7532351019,Netra Jyoti Eye Hospital,26.9804987,94.6378242
7532351020,Rajapukhuri Hospital,27.03222,95.058501
7532351030,Holy Child Clinic and Hospital,27.4898148,94.9258202
7532769918,Nalbari Multispeciality Hospital,26.4409882,91.4358691
7532769922,Al-Salam Hospital,26.17965,90.606702
7532769931,Life Care Hospital,26.161551,90.621609
7532769949,Goalpara Civil Hospital,26.140962,90.6098175
7532769952,Nalbari Eye Hospital,26.4385256,91.4430654
7532769956,Medinova Hospital,26.447815,91.4301451
7532769973,Indu Eye Hospital,26.4423588,91.4429223
7532769999,United Hospital,26.44448,91.4322423
7532770001,Dakhingaon State Hospital,26.4371946,91.447095
7532770005,NIRC Hospital,26.3353589,91.0019536
7532770006,Fuleswari Nurshing Home,26.443121,91.43806
7532770011,Old Civil Hospital,26.176516,90.624388
7537159748,Hojai Civil Hospital,26.0017261,92.8481676
7537159756,Ananta Memorial Hospital,26.6351609,92.7839754
7537159766,Lumding Civil Hospital,25.7622761,93.1749268
7537159770,Garmari Hospital,26.2587936,92.2321557
7537159776,Sultan Hospital,26.236991,92.3474653
7537159783,Eye Hospital,26.0057065,92.845938
7537159787,Dew Care Hospital & Research Centre,26.3564691,92.6644501
7537159793,"New Civil Hospital, Lumding",25.7313533,93.181519
7537159814,M G Model Hospital,26.117993,92.19398
7537159840,Old Civil Hospital,26.7042538,92.477102
7537159848,Jagiroad Health and Service Hospital,26.1191121,92.1944842
7537159859,Dristidaan Eye Hospital,26.7029297,92.4781376
7537680964,Dr. Nitin Dutta Eye Foundation Hospital,26.1676312,91.7788063
7537681005,Eye Clinic,26.1310897,91.8088994
7537681013,Sarma Gynae & Obs Clinic,26.1304526,91.8079674
7537681034,Outpatient clinic1,26.1313723,91.8085923
7540578844,K P Memorial Hospital,26.7425645,93.1541613
7540578850,Railway Hospital,24.8607814,92.3706032
7540578856,New Life Line Hospital,24.8573379,92.368921
7540578866,City Orthopaedic Hospital,26.7669056,94.2071066
7540578869,K.K.Civil Hospital,26.5096254,93.9642533
7540578881,"Holy Spirit Hospital, Haflong",25.1672497,93.0128173
7540578884,Netraloi Eye Hospital,26.7427548,93.1550986
7540578910,Ashirwad Hospital,24.8620579,92.3699007
7540578916,Chandraprabha Eye Hospital,26.7621573,94.208063
7540578917,KKC Hospital,26.5121084,93.9673357
7540578931,Mission Hospital,26.7385005,94.2010669
7540578935,Shifa Hospital & Research Centre,24.6739427,92.5647365
7540578939,Urban Hospital,24.871633,92.371854
7540578943,IMS Hospital,24.871251,92.3599259
7540578946,"Mother & Child Health Wing,Civil Hospital",24.8680876,92.362293
7540578948,JK Hospital,26.742704,93.1561416
7540578954,"Red Cross Hospital, Karimganj",24.8694259,92.3583703
7540578960,North Karimganj New Hospital,24.8677918,92.3624667
7541546151,Maternity & Child Welfare Hospital,26.1458262,91.7274383
7541546161,Critical Care Hospital,26.1454737,91.7411135
7541546188,"Central Hospital, Maligaon",26.1509561,91.694464
7577517041,Rasongsli Nursing Home,25.2873638,92.0968584
7577517042,CAPF Hospital,25.582507,91.9217576
7577517043,Regional Cancer Centre,25.592821,91.942756
7577517044,Ayurvedic & Homoeopathy Hospital,25.5958462,91.9474231
7577517045,Nigrimes Hospital,25.588019,91.913836
